V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,class,target
8.74,71.85,30.17,6.63,13.71,43.88,16.26,32.55,1.87,35.87,40.68,2.96,4.78,2.58,13.32,14.13,24.78,10.46,10.94,16.85,16.38,25.74,14.32,8.36,2.01,10.88,17.96,18.27,35.34,4.76,19.54,19.07,3.47,19.37,4.39,21.35,4,0.5294
15.47,30.66,41.85,9.92,54.82,19.11,11.45,47.27,5.03,7.49,34.63,2.60,4.12,3.37,16.08,9.99,25.87,7.77,13.14,14.65,8.13,12.68,12.44,14.80,nan,20.86,7.71,9.95,58.71,12.12,7.91,2.66,2.95,22.76,11.90,15.34,4,0.5066
6.29,32.68,nan,11.93,13.66,37.80,32.56,50.35,3.83,11.29,33.17,2.01,3.51,1.78,7.72,16.26,21.11,nan,5.06,22.22,10.58,35.46,7.57,4.49,5.13,nan,7.40,6.97,32.91,6.59,nan,18.14,3.93,9.59,15.14,15.48,1,0.4678
5.71,11.63,25.27,6.27,19.51,20.00,14.93,39.15,3.05,17.21,52.53,3.63,3.04,6.09,10.06,7.94,28.86,11.34,10.78,11.84,7.94,16.91,7.84,10.92,3.56,9.46,9.91,7.52,55.51,16.00,5.57,24.17,5.99,6.29,10.27,13.53,5,0.4452
14.38,41.90,39.60,8.67,22.23,28.78,39.93,30.24,3.92,20.87,55.13,5.07,4.43,3.53,12.05,nan,19.02,10.90,nan,11.77,15.82,20.47,13.53,5.44,3.83,13.50,10.03,8.20,31.39,12.68,18.69,16.31,2.96,15.94,13.31,12.91,1,0.5222
9.90,44.38,30.57,4.98,11.54,35.66,21.30,29.10,4.12,33.21,37.21,nan,2.94,2.36,5.29,12.95,nan,9.50,9.82,13.29,16.22,32.17,8.89,7.66,4.44,12.42,13.94,15.31,38.51,12.91,18.17,12.04,2.40,13.98,6.12,14.16,4,0.4766
7.70,45.36,44.49,17.27,33.23,45.51,nan,27.90,3.78,22.06,58.41,3.25,2.99,3.78,11.91,16.33,14.30,5.74,17.56,10.17,19.93,19.06,15.65,12.00,5.25,13.88,14.46,4.51,34.81,14.31,nan,20.64,1.49,15.47,9.94,16.50,1,0.5617
8.82,43.12,32.68,11.04,42.40,32.04,38.13,42.26,3.68,27.45,40.24,5.27,3.45,2.52,11.70,13.39,12.35,10.68,8.67,14.68,15.09,30.67,11.58,6.06,3.11,14.51,14.33,14.81,31.85,14.70,14.40,13.30,2.74,13.82,14.58,16.95,2,0.5338
11.35,54.02,28.55,11.53,36.66,28.76,34.16,37.66,4.43,32.31,38.49,2.24,5.28,3.69,11.81,12.37,20.83,12.56,8.02,11.32,11.05,22.10,14.03,8.26,1.01,13.32,21.07,13.18,17.69,9.14,18.29,11.40,2.82,21.11,9.16,19.30,1,0.5088
7.25,57.42,nan,nan,21.85,48.88,27.69,37.70,3.42,35.06,52.07,4.26,nan,2.43,10.46,11.60,16.31,6.14,12.77,11.87,20.84,41.25,15.16,8.60,2.05,20.52,18.24,11.71,37.80,9.28,17.84,nan,5.00,9.40,9.41,16.49,5,0.5613
10.35,48.07,32.67,6.89,34.31,37.97,34.10,29.54,5.71,33.68,24.57,3.93,3.88,3.88,nan,13.43,19.55,3.54,8.87,17.11,14.54,33.89,16.24,7.30,4.87,14.89,13.31,17.90,40.09,15.12,18.93,nan,4.90,22.15,12.95,17.91,1,0.5357
10.85,20.40,40.63,11.54,43.11,18.13,16.18,52.78,1.58,11.42,43.18,5.28,2.27,3.11,11.23,12.47,26.20,8.95,7.40,10.81,9.20,24.89,6.76,5.97,4.44,30.96,6.06,9.97,52.17,15.57,6.96,5.81,2.70,21.81,12.54,9.91,4,0.4876
6.01,21.11,50.68,10.54,22.14,16.96,44.40,58.56,5.25,39.46,74.83,3.64,4.25,3.31,6.62,8.41,5.58,7.45,6.50,12.19,6.18,59.04,11.70,5.04,3.58,25.28,27.12,3.60,21.06,8.65,9.43,19.56,1.99,8.73,7.49,7.60,0,0.5013
5.76,49.98,41.19,8.75,13.62,43.18,25.81,37.77,4.80,28.23,37.20,3.11,5.89,2.82,9.16,13.73,19.92,9.06,12.58,17.49,14.93,41.59,15.82,10.36,4.12,12.71,15.82,10.91,31.56,13.21,19.05,14.47,3.84,9.55,6.18,11.59,4,0.5071
12.39,47.73,37.82,10.20,24.50,27.94,28.35,39.76,4.45,23.71,60.94,5.41,4.70,3.99,12.55,13.32,12.53,9.99,13.85,12.36,19.51,18.16,11.74,5.65,3.20,9.58,17.54,7.57,21.63,4.87,11.49,7.68,3.31,15.37,7.57,14.96,5,0.4857
8.32,56.28,11.46,7.37,19.29,52.48,42.27,21.79,6.37,36.67,24.76,4.56,1.90,4.67,9.25,27.29,27.43,10.97,8.12,10.42,0.00,31.02,11.63,8.19,2.95,6.66,8.66,21.49,23.17,3.47,18.98,21.58,4.31,18.73,16.00,22.76,2,0.5219
11.76,28.96,29.34,7.44,33.17,26.18,45.47,38.73,4.09,28.43,48.41,7.17,3.67,2.77,9.56,12.28,13.19,7.15,5.99,11.37,nan,33.88,13.75,7.50,nan,15.63,11.18,7.15,36.11,16.06,11.58,12.64,4.79,7.65,11.09,nan,5,0.5050
12.48,49.12,12.88,6.90,21.81,39.12,48.62,27.00,3.11,36.75,24.82,5.66,3.45,3.63,7.40,20.66,24.29,8.45,2.11,10.31,7.74,40.63,nan,10.13,3.89,11.56,20.54,15.86,8.64,8.74,19.26,8.18,2.43,14.85,14.89,16.25,1,0.4777
7.03,42.20,29.00,11.40,39.26,40.13,28.95,32.60,1.90,23.77,35.91,4.21,5.53,2.09,16.32,22.26,18.76,6.31,12.55,9.16,9.26,22.07,8.28,11.15,4.10,11.09,18.20,18.40,30.48,15.34,11.26,9.74,4.01,14.51,11.45,14.22,1,0.5041
11.87,41.00,34.80,9.77,42.37,26.57,34.20,44.14,3.76,29.30,43.46,3.15,4.17,3.86,10.38,10.91,14.22,10.83,9.81,14.55,12.85,25.99,13.01,8.32,2.59,15.18,nan,10.45,40.25,11.68,12.23,13.49,3.53,16.04,8.35,21.67,5,0.5313
13.53,43.40,35.31,10.55,34.64,29.34,35.68,nan,4.24,25.78,39.31,4.58,2.06,2.90,12.50,17.85,19.89,11.47,13.60,12.07,9.08,19.39,11.81,8.70,1.78,12.92,15.16,14.01,31.16,16.45,16.45,12.85,1.91,17.38,8.07,15.78,1,0.5197
9.34,45.81,52.93,8.13,14.69,28.56,48.66,50.13,3.72,29.36,61.00,3.65,4.78,3.76,15.82,18.90,11.81,nan,11.78,17.48,9.12,48.36,16.18,2.74,2.50,18.63,20.51,7.99,15.08,12.67,19.59,19.74,2.33,8.89,nan,9.01,2,0.5343
13.07,34.23,48.32,8.85,35.07,23.46,31.08,41.27,4.41,19.69,55.69,2.99,4.56,1.37,14.73,13.78,16.25,7.19,15.46,15.53,12.08,20.40,12.21,10.44,3.22,16.22,19.61,6.77,40.31,13.97,10.96,13.04,2.21,15.28,10.22,15.51,1,0.5223
11.45,42.61,41.38,10.54,27.19,37.58,32.55,40.99,2.88,34.49,34.75,2.92,4.26,3.27,8.26,10.41,13.29,2.85,7.73,18.18,nan,42.83,11.32,7.70,4.42,nan,15.59,16.79,49.87,13.58,17.34,16.92,4.26,14.80,7.99,16.08,2,0.5456
6.82,29.71,18.78,13.49,11.48,27.93,nan,35.67,5.40,23.45,52.67,5.83,2.39,6.22,7.84,10.47,24.55,15.75,10.29,8.86,11.12,17.89,12.88,5.59,4.35,2.77,8.33,7.95,24.59,11.83,12.91,25.98,4.01,8.26,7.60,11.08,5,0.4488
7.45,25.50,51.24,6.61,43.86,19.51,6.74,54.67,2.92,11.20,25.63,7.01,3.47,2.40,13.34,9.45,26.23,8.72,10.98,16.97,1.15,39.71,11.36,9.38,3.21,26.83,3.51,11.14,48.84,nan,13.66,0.00,2.83,24.51,13.77,5.45,4,0.4785
7.76,54.71,44.29,11.05,25.83,40.98,38.05,33.69,3.30,35.13,40.72,nan,4.48,3.11,6.54,15.72,15.04,10.39,12.47,14.25,13.49,40.46,15.90,9.76,2.78,17.49,16.70,10.46,23.58,12.63,20.15,13.81,4.01,19.20,6.31,14.22,4,0.5416
6.84,46.43,35.09,10.89,27.87,34.16,53.66,35.99,4.54,42.32,28.92,4.75,5.17,3.13,5.17,15.43,11.61,10.38,5.63,16.48,9.35,41.03,12.55,6.67,2.50,10.06,25.13,10.91,6.88,15.28,22.18,15.86,2.02,15.92,7.11,20.21,3,0.5093
7.27,26.22,50.27,5.74,42.16,nan,nan,56.99,1.98,1.00,43.77,4.11,nan,4.80,16.81,6.37,21.00,5.42,5.87,23.73,12.37,39.57,18.15,14.76,3.48,24.60,10.18,6.95,49.69,8.72,3.31,3.27,3.41,25.65,14.96,0.00,4,0.4585
9.38,29.19,56.47,13.65,30.42,24.97,28.62,58.28,3.17,34.76,87.03,2.98,2.55,3.29,7.78,5.91,7.85,11.34,19.72,nan,6.73,46.74,13.58,7.43,2.94,27.08,21.03,5.55,39.77,5.09,7.82,18.37,4.35,7.53,10.57,6.51,0,0.5613
13.81,24.93,37.55,11.57,43.80,13.98,15.79,55.72,2.74,4.13,55.39,5.96,2.79,6.06,15.60,9.73,27.00,6.99,4.35,14.19,15.45,20.02,12.87,9.98,3.27,30.74,9.08,6.89,57.93,11.71,1.46,9.76,3.10,21.18,13.90,10.70,4,0.5004
11.12,27.20,41.61,16.61,39.80,21.69,48.95,49.56,3.83,44.24,75.87,4.49,0.95,3.96,3.52,11.06,10.66,15.53,14.92,4.41,10.97,30.52,11.87,3.19,2.64,27.90,23.36,6.03,30.61,21.23,8.64,21.00,4.98,10.09,5.19,16.73,0,0.5723
13.34,6.17,14.86,8.95,22.95,10.12,27.68,37.17,2.09,16.17,51.50,4.92,4.42,2.20,8.86,7.86,27.28,11.81,6.82,7.73,9.85,7.81,8.18,7.48,2.20,7.09,4.60,7.86,49.10,16.72,5.49,21.11,1.68,9.15,8.52,12.84,5,0.4169
8.98,48.53,23.13,4.12,26.27,34.73,36.44,29.27,2.22,46.44,39.84,4.39,6.64,2.56,10.23,13.51,18.49,5.79,nan,9.95,13.30,39.93,15.23,7.45,4.86,15.81,20.04,16.31,27.91,11.34,16.75,12.66,4.52,16.55,8.73,19.66,1,0.5112
9.37,47.08,34.33,5.99,17.16,35.16,27.99,35.98,3.17,29.23,49.07,3.15,3.72,3.37,12.56,16.04,13.10,5.30,10.93,16.29,16.28,33.48,13.55,6.80,2.07,nan,12.78,12.97,31.67,nan,11.56,12.26,2.03,15.71,7.01,13.89,0,0.4827
12.09,44.54,40.82,7.78,13.53,32.50,22.69,48.09,4.07,30.11,50.21,3.99,4.51,4.15,9.15,12.82,25.61,11.31,13.04,14.63,11.15,nan,16.24,nan,2.90,21.57,16.56,nan,38.36,11.17,15.09,12.97,2.32,9.02,4.03,14.66,3,0.5147
11.79,56.91,34.94,6.46,23.55,38.23,nan,nan,1.76,36.34,55.98,3.10,3.78,4.29,10.06,14.97,9.78,9.92,10.91,14.20,18.36,40.02,nan,7.13,5.09,nan,11.99,13.65,33.58,6.91,16.22,17.20,5.91,12.71,9.93,17.04,1,0.5558
6.43,30.86,51.19,16.13,22.68,33.00,43.31,57.77,1.53,42.77,73.53,2.69,3.57,3.14,5.71,10.80,5.13,7.25,nan,9.94,nan,62.03,15.68,5.92,2.84,25.29,22.24,7.62,26.14,6.84,9.71,20.65,2.81,7.29,6.23,5.51,0,0.5445
17.15,48.99,36.32,5.39,11.31,31.54,47.86,24.91,4.03,33.55,56.09,3.57,4.14,2.85,10.73,17.40,18.99,5.91,10.54,14.48,17.76,31.00,19.11,9.08,3.90,15.13,21.60,9.35,29.41,13.76,18.02,18.94,5.70,nan,8.18,15.14,0,0.5329
11.52,37.52,27.47,5.58,29.97,34.50,38.58,24.61,3.53,37.03,53.80,3.54,2.49,4.38,9.64,15.53,12.69,4.93,13.81,9.28,16.98,29.59,16.41,10.77,4.07,11.08,16.51,nan,36.19,13.50,8.83,11.41,1.78,12.86,10.23,16.17,1,0.5116
nan,45.26,45.18,14.14,36.00,33.92,24.68,51.90,3.11,19.25,54.62,1.22,0.79,2.18,14.81,13.23,10.00,6.95,15.44,17.40,17.82,20.96,12.44,10.85,2.32,12.08,12.65,nan,48.94,8.94,6.80,13.44,4.07,9.39,2.30,18.98,5,0.5330
7.86,45.60,35.84,6.08,22.81,32.77,17.87,35.98,4.70,22.38,49.02,2.72,2.91,2.51,13.03,9.00,20.11,8.18,9.88,15.14,15.53,33.61,12.84,12.62,3.84,nan,16.69,13.43,42.40,7.81,15.02,15.98,3.20,12.89,13.79,10.72,4,0.5017
10.47,50.67,26.30,7.38,19.86,35.51,42.78,33.92,3.42,30.67,45.53,nan,1.05,4.47,nan,11.65,18.19,11.41,5.89,13.76,17.05,39.01,18.98,10.40,4.46,11.43,8.48,11.66,35.60,12.71,19.62,24.03,3.53,7.43,8.66,15.92,1,0.5306
12.97,nan,42.50,12.73,34.92,31.59,34.03,nan,4.00,23.01,40.32,4.71,3.53,3.85,13.43,14.93,17.32,10.59,13.87,14.30,14.01,18.20,12.03,8.81,3.00,12.62,16.98,11.41,29.38,14.73,18.82,12.20,4.45,17.63,7.01,16.91,1,0.5320
6.72,53.40,54.82,12.99,35.32,44.08,18.22,48.08,4.01,26.03,37.25,4.88,2.95,5.24,14.07,14.10,19.92,6.43,17.66,19.59,10.84,29.05,13.08,10.02,3.59,19.81,18.20,nan,45.09,11.18,15.33,13.08,4.42,17.69,5.97,20.99,1,0.5705
6.66,46.76,51.62,10.16,44.18,30.73,26.35,52.06,4.18,27.90,34.20,2.20,3.95,4.57,15.14,9.92,17.22,10.14,14.12,19.76,9.08,33.36,15.91,10.59,2.97,18.02,18.11,8.89,38.33,16.67,nan,12.59,nan,14.23,5.39,20.29,1,0.5513
8.94,47.28,29.85,7.72,29.13,32.84,42.94,nan,4.25,33.62,45.68,2.59,1.77,4.08,7.15,13.51,14.41,14.65,11.92,12.34,20.69,22.71,14.57,4.44,0.00,9.31,13.61,5.87,18.17,15.39,17.07,10.74,3.04,11.47,9.01,22.86,5,0.5032
8.53,54.10,42.26,8.94,27.48,40.14,29.42,36.23,4.35,34.36,nan,4.66,3.37,3.89,10.18,12.48,17.03,8.04,11.90,16.72,15.13,35.62,nan,7.87,5.06,15.65,nan,14.20,36.73,13.78,21.04,13.99,3.98,16.83,6.69,18.25,1,0.5448
9.55,42.55,38.32,9.86,30.57,28.10,22.62,46.54,nan,17.87,42.82,4.87,2.25,3.74,14.01,12.11,22.05,11.21,9.47,17.41,15.74,24.72,11.82,8.53,3.65,17.13,15.68,11.85,nan,16.28,13.74,14.78,3.34,12.45,9.62,14.41,4,0.5128
13.63,41.79,35.79,7.57,16.80,39.35,63.37,16.16,nan,45.24,40.12,4.39,5.36,5.90,7.65,21.64,11.00,2.34,11.25,11.09,10.21,28.35,9.31,7.46,3.19,5.32,nan,10.08,18.65,15.19,22.92,20.28,2.32,14.06,5.46,25.42,3,0.5267
11.62,41.59,34.41,9.91,30.97,31.72,31.98,34.76,4.77,27.33,48.96,2.36,3.08,3.62,8.92,13.13,17.05,nan,10.84,9.76,14.98,28.60,11.69,7.81,1.79,17.23,14.69,11.18,31.04,9.48,14.32,9.12,2.24,17.24,13.00,13.58,4,0.5065
9.86,40.31,36.83,8.53,27.79,30.54,22.02,nan,4.96,19.14,43.45,4.39,4.63,5.38,10.81,15.18,20.83,12.25,12.28,20.17,12.08,22.94,10.76,7.68,2.60,13.30,16.85,10.43,38.27,10.73,9.52,12.40,4.39,12.07,11.89,18.21,1,0.5053
6.90,66.38,39.54,8.32,7.32,52.36,13.93,26.71,5.92,29.88,48.46,2.86,3.66,3.69,10.53,15.94,20.94,6.29,17.38,17.95,nan,26.27,15.04,9.99,3.03,9.60,20.12,13.67,34.94,4.31,15.34,14.53,3.54,18.39,7.44,15.67,4,0.5224
8.69,nan,37.76,10.48,36.50,32.54,36.16,42.06,4.29,26.31,38.23,4.11,3.32,3.58,10.50,10.35,13.89,7.23,10.42,15.84,15.16,34.48,14.79,6.16,2.17,14.38,10.48,9.92,35.41,13.43,14.58,11.17,3.77,13.82,13.11,15.56,0,0.5154
14.95,52.93,22.30,8.65,16.35,25.24,57.97,5.35,2.47,29.34,39.74,3.24,4.20,3.08,7.73,13.20,21.71,12.62,2.57,5.01,22.81,8.89,10.96,6.47,3.25,5.12,11.22,6.57,7.21,16.00,31.37,19.62,3.14,24.26,7.02,19.72,3,0.4722
11.11,51.46,30.37,9.65,21.88,45.29,32.72,18.73,2.60,nan,53.28,6.58,4.97,3.11,8.40,12.04,11.09,3.30,11.53,8.93,24.20,nan,13.78,13.06,3.58,10.08,nan,14.76,39.13,6.79,15.33,14.43,3.66,14.55,12.67,11.30,0,0.5291
7.60,54.86,37.87,9.59,64.71,nan,31.82,48.43,3.36,37.24,39.44,3.67,3.21,3.90,15.21,10.27,9.75,11.04,11.51,15.60,11.01,37.13,16.54,13.49,5.16,20.45,12.48,17.50,53.62,14.39,12.46,17.35,4.43,14.43,10.33,25.84,1,0.6231
11.41,60.22,30.88,7.29,32.40,39.17,40.70,31.75,4.40,40.63,51.22,4.62,4.01,3.84,9.89,14.52,10.15,11.51,10.08,10.24,17.49,38.36,13.86,9.03,2.70,15.48,17.18,17.10,30.19,10.14,19.07,15.53,3.89,12.03,11.27,18.46,1,0.5705
13.12,45.39,35.84,10.02,27.59,31.64,43.36,33.00,5.34,25.98,39.86,2.39,2.77,nan,10.80,17.64,14.70,7.52,8.97,13.13,19.46,18.83,10.90,3.90,3.65,11.31,8.84,6.99,25.35,13.23,16.97,9.57,4.79,18.46,4.31,nan,4,0.4965
12.95,34.03,51.70,11.05,20.63,43.03,40.65,22.69,4.17,32.66,nan,2.21,3.40,3.39,5.88,10.91,14.49,2.40,19.41,8.77,14.34,34.47,11.09,8.61,5.42,nan,12.90,8.62,51.62,12.33,20.42,21.22,nan,13.95,15.43,13.36,1,0.5775
13.25,63.56,60.07,9.55,nan,37.66,39.91,45.71,4.72,31.06,46.00,3.24,2.93,nan,11.57,16.00,14.85,12.66,nan,19.82,9.57,48.24,13.07,nan,nan,25.77,20.58,14.75,38.67,nan,28.11,23.12,2.17,13.09,8.21,14.50,2,0.6221
15.61,52.41,42.20,nan,26.88,36.22,nan,33.93,3.07,24.87,47.36,3.12,2.05,2.96,11.68,15.91,16.04,7.44,13.03,14.99,17.63,23.46,11.09,10.26,5.24,14.92,12.81,9.98,43.47,8.74,16.92,11.78,2.29,14.52,8.05,21.79,0,0.5415
9.27,19.45,42.11,6.96,40.81,20.40,19.34,53.05,3.80,nan,33.04,3.42,nan,2.97,11.84,7.59,23.91,4.39,8.78,17.75,5.63,40.83,17.32,10.45,4.69,24.31,8.83,7.99,52.57,13.76,7.82,6.10,4.16,18.08,11.66,11.06,4,0.4844
13.36,33.29,nan,9.54,37.80,nan,45.23,56.76,4.63,34.84,83.06,3.04,1.63,2.80,12.28,9.99,6.39,14.04,9.51,11.14,nan,39.83,11.75,7.76,2.98,24.85,24.44,7.60,31.24,9.36,10.11,24.52,0.87,12.44,8.10,12.83,0,0.5578
9.19,54.66,32.13,11.76,38.94,38.80,28.95,43.26,5.95,36.20,35.19,3.24,nan,5.86,nan,11.32,14.71,11.82,9.54,12.51,11.72,35.52,13.45,12.91,4.38,14.25,14.03,14.92,37.59,10.30,16.33,13.69,3.31,11.87,3.49,21.07,1,0.5458
9.97,45.28,48.87,9.40,12.92,35.35,43.29,29.76,2.03,27.73,56.32,3.08,3.29,4.74,10.43,13.37,15.40,5.80,10.54,13.37,17.03,33.13,8.97,3.73,2.54,16.91,nan,7.41,nan,nan,23.96,20.42,1.97,16.37,14.53,14.24,1,0.5289
12.79,42.54,24.78,7.56,12.34,28.51,41.29,18.27,3.52,26.26,44.62,2.80,3.40,4.05,7.14,10.79,27.24,11.18,7.65,11.81,20.58,11.39,13.71,3.97,3.35,9.01,10.09,6.06,27.50,13.33,21.56,21.07,3.24,20.98,12.18,19.93,3,0.4808
8.08,nan,49.28,13.79,50.40,19.18,7.78,58.96,4.22,3.83,44.31,4.20,3.51,3.88,14.34,7.71,24.05,12.46,10.40,15.52,14.46,19.74,10.62,9.41,3.90,27.73,7.52,5.84,48.74,13.57,8.01,4.45,3.88,21.77,11.08,10.87,4,0.5034
17.41,10.81,42.37,11.49,32.98,18.49,23.77,53.33,3.03,19.30,45.06,3.55,3.28,2.96,9.05,10.91,24.55,3.99,11.43,15.86,nan,nan,8.29,2.14,5.71,nan,10.33,11.72,66.33,18.93,5.91,12.10,2.43,nan,11.81,13.19,4,0.5107
7.42,39.36,48.67,11.86,45.03,nan,64.49,31.35,2.26,nan,nan,1.77,nan,2.70,12.22,18.59,5.40,5.48,8.68,nan,2.00,35.74,11.12,9.33,3.67,8.41,22.59,nan,10.45,17.03,22.93,19.94,4.73,24.88,9.21,19.30,3,0.5351
14.10,32.79,32.47,12.77,31.79,21.38,49.04,35.35,3.64,21.10,57.29,nan,2.49,4.10,12.60,nan,16.61,nan,12.37,10.82,12.68,15.50,15.11,6.13,2.74,8.95,14.76,6.51,22.49,13.72,14.43,19.22,3.72,14.04,14.00,13.55,1,0.5055
nan,17.67,41.78,7.78,38.08,21.10,20.37,39.18,3.65,12.78,51.24,3.67,5.03,1.48,nan,15.13,30.30,3.99,12.99,9.82,7.59,17.92,11.07,8.07,3.76,28.98,6.38,7.42,59.56,14.93,5.77,10.20,5.25,24.10,15.31,12.48,4,0.5071
2.95,17.38,27.46,3.33,nan,31.28,nan,31.80,3.15,19.84,52.76,2.40,2.46,2.66,11.64,12.06,27.49,8.03,nan,10.17,10.52,23.63,11.57,12.86,3.91,9.85,4.22,7.37,59.07,15.80,4.51,20.25,5.08,5.61,8.65,12.73,5,0.4533
10.72,47.41,33.31,8.43,25.64,41.08,nan,34.85,3.03,21.38,42.62,4.32,2.93,3.92,11.21,11.23,20.59,6.39,10.49,16.52,19.12,nan,12.51,14.10,3.26,12.27,17.57,11.41,48.24,9.47,13.85,nan,2.22,8.45,13.46,19.24,4,0.5253
12.30,19.89,16.53,6.46,31.80,8.45,36.41,38.11,2.86,24.22,55.79,4.45,2.47,3.82,12.47,11.37,18.85,15.62,9.55,9.02,5.68,20.46,16.94,13.88,5.16,3.11,13.47,10.45,30.39,17.36,5.47,19.22,3.76,7.38,5.87,8.21,5,0.4407
6.57,48.15,37.68,12.06,25.90,39.14,35.25,43.12,3.93,20.39,40.94,4.39,3.19,4.82,11.09,11.68,19.67,12.54,10.76,18.21,16.63,32.19,16.93,7.21,3.43,12.73,10.26,7.62,30.72,12.33,18.13,18.81,2.62,9.99,13.40,16.02,1,0.5298
17.64,48.18,25.65,9.67,21.97,29.53,37.46,35.73,3.36,25.45,56.94,5.05,4.92,4.44,8.74,13.31,19.41,13.66,8.88,11.96,17.83,23.92,nan,9.79,3.34,14.21,12.40,12.65,nan,10.53,14.15,20.15,nan,10.31,10.27,15.31,1,0.5360
14.12,27.59,nan,nan,36.98,14.72,36.09,47.55,4.64,37.84,76.77,2.94,nan,1.87,6.14,6.22,9.86,13.69,13.70,9.32,8.65,31.60,9.92,9.31,3.08,22.72,23.19,9.08,46.04,13.04,9.05,22.81,1.14,10.64,8.98,15.16,0,0.5593
8.44,50.44,35.22,7.28,28.71,26.60,28.09,nan,4.38,26.80,56.23,3.43,3.01,3.93,12.40,13.29,11.87,11.73,9.33,14.54,19.99,23.48,11.42,7.22,3.14,11.04,15.69,8.99,25.71,8.00,11.29,11.90,1.84,16.70,5.91,17.86,5,0.4913
14.55,44.93,25.11,1.09,15.27,20.35,47.93,33.76,4.85,35.71,61.96,4.16,6.03,4.46,12.40,16.66,9.14,11.64,7.97,12.42,17.42,35.77,16.37,1.74,4.95,7.65,14.52,12.41,13.06,8.75,14.75,11.96,4.25,11.08,nan,11.80,1,0.4771
7.42,52.84,19.38,8.56,30.66,39.05,39.72,12.61,3.84,32.16,31.43,5.99,4.32,4.31,12.27,22.69,23.38,13.39,11.44,7.63,4.69,8.58,7.42,9.98,3.83,1.54,5.26,18.51,28.99,nan,20.39,26.65,3.08,26.08,7.69,23.68,2,0.5213
6.71,43.30,44.50,6.97,32.21,34.12,28.29,35.29,4.93,33.81,42.12,3.32,2.15,2.15,8.23,12.38,17.23,10.96,15.80,14.51,14.15,30.63,11.64,5.81,3.69,17.90,18.33,10.44,nan,16.72,17.75,9.84,nan,16.97,11.60,17.63,1,0.5297
9.76,35.90,46.74,8.18,29.00,28.46,nan,42.43,1.77,30.02,53.64,2.95,3.02,2.71,10.87,10.60,14.64,8.72,18.19,12.75,12.41,24.29,nan,2.41,2.90,14.98,15.74,8.29,33.86,9.30,14.14,7.89,2.91,15.21,10.35,17.11,1,0.5022
14.04,49.40,35.88,13.99,30.31,34.58,55.77,34.99,1.26,23.53,65.14,3.34,4.07,3.32,15.55,20.81,11.82,9.55,nan,9.31,15.18,23.91,15.93,6.67,3.65,nan,18.04,8.46,14.67,9.03,14.67,17.91,1.41,12.67,14.61,14.13,1,0.5449
9.21,30.22,45.46,10.19,nan,14.81,42.63,55.41,2.32,39.43,81.73,4.55,3.84,3.93,9.50,nan,8.57,11.88,10.08,9.24,9.81,47.26,15.78,nan,5.50,26.72,27.38,5.39,21.56,12.18,7.94,17.76,nan,10.02,7.27,8.46,0,0.5286
10.65,34.08,36.30,5.64,nan,33.39,26.29,32.79,2.74,23.55,50.30,4.05,4.22,nan,5.90,10.68,20.17,6.65,9.27,15.72,17.80,nan,10.51,12.18,4.54,14.72,16.98,7.03,46.66,10.64,12.85,16.13,3.88,9.05,12.38,15.83,1,0.4965
16.46,50.83,32.13,5.98,nan,19.97,33.90,27.85,nan,34.09,68.47,2.78,4.04,7.09,14.85,7.28,9.18,11.98,14.96,9.07,23.67,15.17,14.36,7.70,2.59,10.08,19.97,15.37,36.25,nan,15.39,15.29,3.40,14.66,10.60,14.86,1,0.5444
12.24,56.04,20.70,12.47,28.03,43.95,40.47,28.53,5.42,29.98,26.40,3.49,4.08,3.71,7.13,21.13,20.74,10.15,6.11,10.49,14.52,30.94,14.55,11.70,4.38,12.34,15.55,16.69,19.48,12.70,17.65,8.39,4.21,16.53,8.41,15.31,1,0.5056
11.47,55.58,13.00,7.04,21.73,37.00,44.25,19.26,4.40,35.22,31.77,2.83,2.74,2.59,10.41,21.39,27.42,14.49,7.30,8.10,6.05,14.24,11.13,5.75,3.40,4.76,6.74,15.79,19.54,7.48,22.08,21.99,0.03,22.52,9.48,25.91,2,0.4974
12.01,50.01,28.54,7.71,27.72,41.72,38.65,27.24,3.82,48.71,41.10,2.78,6.10,3.59,5.45,13.19,13.16,7.50,13.41,14.09,13.62,32.87,13.67,7.71,3.26,10.93,20.26,18.84,40.23,nan,16.34,18.94,1.00,15.22,9.73,22.90,1,0.5616
10.75,24.75,55.65,9.17,16.05,27.57,46.56,49.60,2.83,22.84,51.22,2.29,1.63,5.85,8.78,19.18,11.80,6.72,10.99,18.80,7.91,43.28,8.03,5.86,5.20,18.69,nan,4.18,30.59,17.04,15.27,nan,3.73,5.68,7.48,12.43,2,0.5068
13.62,68.61,29.30,8.29,25.06,45.72,35.15,27.38,2.92,39.05,45.38,3.29,4.26,2.10,11.18,16.82,21.60,10.83,12.13,10.93,18.01,27.62,16.64,9.97,3.03,16.89,18.68,16.47,34.65,11.31,20.82,16.98,1.37,14.62,8.37,22.71,4,0.5776
